date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2016-05-13,20.526531279465186,20.9074120533708,20.526531279465186,20.64512825012207,177571200,18.165817087384653,23.979977270157477,-121.63864313014307,-110.85453154593627,23.417778358459472,22.794850046731376,22.886906509399413,23.079896872285786,-0.8577379622629593,24.981911730892268,0.3808807739056128,0.45830176470278516,0.47316513928458914,21.411455154418945
2016-05-16,21.071627466161107,21.52777266813893,20.90285422864495,21.411455154418945,245039200,47.60529943926808,38.52905688484925,70.93199208058411,1.47217146242437,23.37897575378418,22.740599266640697,22.859025211334227,23.046858422427036,-0.7959582766562718,24.67277037557096,0.8826444180168593,0.5189221437476529,0.502413659194037,21.322507858276367
2016-05-17,21.56426600852928,21.59847550804325,21.21303397971981,21.322507858276367,187667600,45.39394278732816,37.62887125171155,83.41208440746631,57.38828776218663,23.343562927246094,22.6849878388617,22.83047992706299,23.012712866701282,-0.7455801502845567,24.34823197410569,0.38544152832344025,0.4998534844013368,0.4940585069889944,21.566539764404297
2016-05-18,21.475312136477346,21.7147872698688,21.413731573565634,21.566539764404297,168249600,52.46207072790918,41.65637239402666,110.7555743206306,136.6770756578846,23.31683921813965,22.64112713005945,22.801263561248778,22.98407577556669,-0.6781465356835845,23.961072994929538,0.3922794115924333,0.48448575971435065,0.48678857160352573,21.48444175720215
2016-05-19,21.584794274523496,21.584794274523496,21.34075662199251,21.48444175720215,121768400,49.92565661741472,40.704100605698194,69.66517995458355,84.66317054467088,23.28806522369385,22.595766919359164,22.77253391265869,22.95438005243076,-0.6241348947823226,23.580812261214216,0.24403765253098442,0.4501360301167269,0.46944922024120134,21.717079162597656
2016-05-20,21.58479660097207,21.764974212829756,21.557427255101015,21.717079162597656,128104000,56.82627447706247,44.57087727587607,90.37636957121414,131.343067514857,23.263717498779297,22.561308575956755,22.74885877609253,22.929879044711292,-0.5561474640756252,23.15715671302412,0.28053245562760765,0.42590694804685275,0.4559551656259447,21.993038177490234
2016-05-23,21.86531809404653,22.16637381934643,21.81970253563404,21.993038177490234,152074400,63.74133993493672,48.83334568179465,135.1924807347302,187.9837752237822,23.239946823120118,22.5390234622914,22.72361421585083,22.911327740409888,-0.4745292711478868,22.706669375865747,0.4492946567487728,0.4292480492899842,0.45547941499186095,22.328304290771484
2016-05-24,22.1732148781552,22.37163689455233,22.08654619048236,22.328304290771484,140560800,70.44987828458848,53.51075540786569,147.39414944374522,193.40384585452549,23.22170295715332,22.53075996536905,22.704924011230467,22.899782721605167,-0.3784307773826612,22.24218550127313,0.378598717062097,0.4220124304002861,0.44998793656830643,22.72059440612793
2016-05-25,22.50392437905157,22.74796200613963,22.3762042721811,22.72059440612793,152675200,76.40839475095608,58.31277343019093,135.44361441887918,190.31893792538511,23.201964988708497,22.53820445324195,22.69480131149292,22.89623443813037,-0.2675335348614425,22.39431491439469,0.419657715368146,0.4216760425385518,0.44782149219686646,22.90077018737793
2016-05-26,22.73427642676213,22.973753348456786,22.49708071824189,22.90077018737793,225324800,78.70885018349487,60.33909180739238,114.11874026469906,163.80867220397099,23.179528579711913,22.552422717325715,22.68627746582031,22.896324254947157,-0.16322641888485379,22.658304007293548,0.47667263021489603,0.4295326979208867,0.4498822877695829,22.8870849609375
2016-05-27,22.679539800682896,22.914454299236763,22.636205450056355,22.8870849609375,145364800,78.03456178001673,60.10013446394637,87.26556211107207,130.2028140324143,23.15758918762207,22.56554672687912,22.683569164276122,22.896141298630134,-0.08073588831856071,22.880180191796203,0.2782488491804074,0.4079207195293897,0.4376227564417846,22.775331497192383
2016-05-31,22.716032130014,22.898490918229356,22.5381357685348,22.775331497192383,169228800,72.14623894141573,58.07747384626157,58.06136195696062,99.1256380449167,23.132870712280273,22.573773580616898,22.684275283813477,22.893749025334337,-0.02410129437513575,23.044762390434293,0.3603551496945556,0.4011256381244134,0.4321036416741254,22.45602798461914
2016-06-01,22.583748083786627,22.702346810204308,22.426379173042644,22.45602798461914,116693200,57.64631669297861,52.62757637658915,-1.6708971812787343,66.0550597286425,23.101811408996582,22.569156106264042,22.691370792388916,22.885081281953838,-0.004926308164620252,23.130257058097595,0.34895232414973876,0.39367230755660276,0.42616426185095496,22.287254333496094
2016-06-02,22.25988499558797,22.314621931348405,22.03865429931745,22.287254333496094,160766400,51.28964984109209,49.958997978717186,-118.56795271163959,25.066493255032654,23.06370433807373,22.558101134782948,22.695628662109375,22.873243124558634,-0.003310455717027594,23.188669414595207,0.4173736853016905,0.39705821866304386,0.42553636352600754,22.33287048339844
2016-06-03,22.303221669284163,22.412695552210707,22.22567607382653,22.33287048339844,114019600,52.92644982369782,50.68682508385978,-88.92518429687297,28.767608809024715,23.029184494018555,22.54926856021885,22.696802825927733,22.86254267621883,0.0016321466853170818,23.24478478624731,0.1870194783841761,0.36705268433749133,0.4084994431587338,22.49479484558105
2016-06-06,22.34882855365824,23.23831184135101,22.248477815495967,22.49479484558105,93170000,58.67696703294202,53.28425454651879,27.42522132458676,69.11288464575391,22.999988670349122,22.547132336115407,22.69637201309204,22.855260540958675,0.01840299914974608,23.308378425762655,0.9898340258550427,0.45602144741142725,0.45002334192275584,22.586030960083008
2016-06-07,22.63620721418083,22.777612862996868,22.57006594651152,22.586030960083008,89638000,61.74866118494007,54.73109310926508,32.073805808893724,59.30146127936794,22.974793739318848,22.54865777234943,22.702648162841797,22.849929262129454,0.038610929739988364,23.37238750853596,0.282818017415817,0.4312781002691972,0.4380801044579745,22.56550407409668
2016-06-08,22.583748560036888,22.70690797542668,22.506204709637323,22.56550407409668,83392400,60.566914723364384,54.32344533979338,28.771438109622263,42.40955280851965,22.93789905548096,22.549318411633635,22.70391649246216,22.844297080188213,0.052365871009900644,23.42800994168792,0.2007032657893575,0.3983388382006487,0.4211246159816447,22.727434158325195
2016-06-09,22.46515032931192,22.804978004438173,22.456027216818192,22.727434158325195,106405600,66.47234105474189,57.04168262649496,67.71897709366016,49.64169469431758,22.89571937561035,22.556303342876443,22.712192821502686,22.841982962923595,0.07546327193179181,23.477778033150393,0.3489507876199802,0.3912834024034103,0.41596934252724005,22.540416717529297
2016-06-10,22.471994237737064,22.659013710439098,22.460591651142323,22.540416717529297,126851600,55.31127827226608,53.11058049600313,14.624875069116808,9.011206471826139,22.85238380432129,22.55568033796087,22.71965871810913,22.836011354103906,0.07778077570247177,23.40627010029004,0.26684250718287217,0.3735061316576192,0.4053174257169281,22.200580596923828
2016-06-13,22.508479923356937,22.60655118687557,22.14584367358134,22.200580596923828,152082000,40.791290777168804,46.79909530219838,-118.31255481149417,-98.12944579427504,22.797717514038087,22.541754857920203,22.723433113098146,22.823428566833012,0.05160065905624478,23.25817502908628,0.4607075132942313,0.38596347189142094,0.4092738605438783,22.227951049804688
2016-06-14,22.19602103123973,22.46058603084139,22.0660197442094,22.227951049804688,127727600,42.216618511649266,47.341861943269585,-132.63597273712966,-124.84762638764099,22.738475379943846,22.5294488262294,22.72858600616455,22.811636932832453,0.03268452790731402,23.21924904754567,0.3945662866319921,0.3871924454257883,0.40822331955017216,22.154970169067383
2016-06-15,22.31005959227909,22.444623318622156,22.129882046190804,22.154970169067383,117780800,39.27542283997951,45.994416941169725,-88.75029364301695,-103.17327239813135,22.68371307373047,22.514763388693634,22.721465091705323,22.798633630579676,0.011669887342559804,23.1465957973329,0.31474127243135186,0.3768422778551545,0.4015460304702564,22.24848747253418
2016-06-16,21.9976061680939,22.294101306038115,21.91093918841393,22.24848747253418,125307200,45.00345617859032,48.03540660592698,-92.04888858699078,-111.54134974924334,22.62560707092285,22.504321195903067,22.71974355697632,22.787739647252042,0.0025325049847033654,23.0985001902498,0.3831621176241846,0.3777451121078731,0.40023289383839417,21.742164611816406
2016-06-17,22.03637851841525,22.043220419024696,21.73532271120696,21.742164611816406,244032800,28.20063330077511,39.36183894765012,-156.56646257090102,-174.57959061464715,22.568346405029295,22.474432702409473,22.71171878814697,22.767035191104803,-0.045045700908307396,23.05335778659809,0.5131647613272214,0.3970907762820657,0.40829945580188187,21.689706802368164
2016-06-20,21.89497251773313,22.024973847454927,21.673741787842893,21.689706802368164,137647600,26.982894025258844,38.58448939162398,-121.70585781563105,-159.6300086153199,22.509492607116698,22.44365913770197,22.717982807159423,22.745701955684275,-0.08599340028578695,23.057698369550113,0.35123205961203396,0.3905395310434897,0.4042232132168927,21.874441146850582
2016-06-21,21.65321047429848,21.97479189497669,21.59391111854967,21.874441146850582,142185600,37.98501416991138,42.8638063575237,-78.59259285214134,-128.95060738046257,22.452701416015625,22.421336863550938,22.724583549499513,22.72844926640044,-0.10235830650275801,23.06785448969831,0.3808807764270199,0.3891597089554226,0.40255589630333033,21.79233741760254
2016-06-22,21.951987540053324,22.097953863452847,21.74672185400529,21.79233741760254,116876400,35.23233719166615,41.48043242741235,-41.77868746211771,-95.68268013832514,22.387830085754395,22.396670218611785,22.723035507202148,22.70991239810741,-0.12056292303438454,23.0887186929295,0.35123200944755695,0.3837414661685847,0.3988899043850608,21.91777992248535
2016-06-23,21.88128920563629,21.96111428004623,21.72391853033089,21.91777992248535,128960800,42.64150345723189,44.431273462462826,-33.82128922804179,-83.1868410476663,22.318213272094727,22.377890206998984,22.724793605804443,22.69422660651093,-0.12344505328321986,23.053187577245748,0.23719574971533675,0.36280636381812065,0.3873403219086519,21.30198097229004
2016-06-24,21.1902258866374,21.589352932595517,21.130926524022275,21.30198097229004,301245600,25.76265652234939,35.079788459336285,-225.39868933473525,-162.10845432754869,22.236008529663085,22.33569768799079,22.724790344238283,22.666657386031307,-0.173419914282551,23.047459391108926,0.7868533984630766,0.4233845116245429,0.4158769702339679,20.99180030822754
2016-06-27,21.2107497745126,21.222154099445905,20.868640907181756,20.99180030822754,181958400,20.900858087331116,31.485128964854454,-155.70004575612194,-178.6447810029415,22.15780128479004,22.28299582996086,22.717469024658204,22.633491899342125,-0.23534146901598518,23.063974467164556,0.4333400651082826,0.4248067335507914,0.4171243341535618,21.34531593322754
2016-06-28,21.187947006729196,21.361282687277768,21.014611326180614,21.34531593322754,161779600,36.76756777139774,39.13958413119365,-69.75570834550999,-122.65700046074306,22.097409553527832,22.246224069304652,22.711937370300294,22.607983464369557,-0.25297287692376713,23.007703120004418,0.36948237905022907,0.41690325433642533,0.4137213373604666,21.530054092407227
2016-06-29,21.431982803418443,21.56426533090208,21.354437213493046,21.530054092407227,146124000,43.65793899297731,42.739694234276314,-9.112352079157029,-71.23999494911952,22.043296928405763,22.21813897217142,22.714101715087892,22.586638328291095,-0.24916682908876453,22.97277872579186,0.21894939767454247,0.38862413195615636,0.39980905595432914,21.803741455078125
2016-06-30,21.539178128823707,21.84251338167521,21.50724810220776,21.803741455078125,143345600,52.5876799903586,47.67768875402,52.061409162145445,-14.554217308424818,21.993660774230957,22.201888089148152,22.716758689880372,22.57113541991064,-0.22151276462788871,22.945529589764238,0.3352652794674498,0.381001438743484,0.39519878620526633,21.86988067626953
2016-07-01,21.778651291589384,22.00216319705296,21.74216058175079,21.86988067626953,104106000,54.6156582527599,48.82619578823271,90.85304454538117,28.654462636490408,21.950606575012205,22.18886819060389,22.72012243270874,22.55724918736329,-0.19204604958911276,22.911552211657906,0.2600026153021666,0.3637158925375815,0.38554191685504496,21.664613723754883
2016-07-05,21.755843103078664,21.75812431607707,21.543735535674536,21.664613723754883,110820800,47.29143858163753,45.48888485505813,50.826071686422615,-13.92095938104882,21.904761772155762,22.16830919190393,22.72306568145752,22.539573237588865,-0.1831456046785398,22.848362384192008,0.32614514059499555,0.3583486422600692,0.38129928997932716,21.78777313232422
2016-07-06,21.57566556484717,21.817423681146657,21.523209846255547,21.78777313232422,123796400,51.81472302059158,47.79453289446758,50.22681759371477,11.156924052884843,21.864100608825684,22.153386209175313,22.728532638549805,22.524686106791545,-0.16426051006582654,22.760108812900825,0.2942138348911101,0.3491865269216464,0.37507890033016883,21.881290435791016
2016-07-07,21.82655174735586,22.00901056202728,21.80830725793369,21.881290435791016,100558400,55.21909328690159,49.539815825895985,98.08784971971004,75.645840717638,21.82861946105957,22.142715786689653,22.73427740097046,22.5119455984549,-0.14013251133127014,22.669785806124523,0.22123742970306282,0.3309080844618488,0.3640902238568041,22.0500602722168
2016-07-08,22.00672591897257,22.09795531209181,21.906375152591764,22.0500602722168,115648400,61.01788454921664,52.618373922436085,119.53785318850362,103.96541144757227,21.826119689941407,22.139082237102482,22.735702514648438,22.50279935437098,-0.10616873606844734,22.539054083277275,0.21666487630079345,0.3145876261531266,0.35355984188851763,22.118492126464844
2016-07-11,22.06603463767025,22.271300424171542,22.061473949106524,22.118492126464844,95179600,63.26797380768383,53.84790112201577,135.87136751259783,125.49207991941923,21.838544731140136,22.13827478178336,22.734456806182862,22.495189310254023,-0.07289008917244999,22.454439727911314,0.221240151954742,0.30125227269621446,0.3441084354646765,22.21883201599121
2016-07-12,22.161813866654303,22.28269206483961,22.15041128082042,22.21883201599121,96670000,66.56897814362335,55.664583350315624,112.80418917188915,124.51125074412303,21.857918434143066,22.141433889007196,22.738431015014648,22.489716888585452,-0.037982097264112724,22.45761051462322,0.16419993837476454,0.28167336779315016,0.33125782852968283,22.093393325805664
