Model,Random RMSE,Time RMSE,Walk Mean RMSE,Best RMSE,Walk Median RMSE,Walk Forward rmse Std,RMSE Increase (Walk − Random),Validation Inflation (%),Overestimation Ratio (Walk/Random)
Linear Regression,8.6,12.83,10.26,8.6,10.19,2.81,1.66,19.30232558139535,1.19
Decision Tree,12.77,29.23,53.94,12.77,48.05,43.79,41.17,322.3962411902898,4.22
Random Forest,9.13,16.81,48.66,9.13,36.95,44.7,39.53,432.9682365826943,5.33
XGBoost,9.42,23.07,51.97,9.42,44.27,43.94,42.54,451.6985138004246,5.51
MLP,9.12,30.58,26.1,9.12,25.62,13.45,16.98,186.18421052631584,2.86
Raw LSTM,,19.17,38.23,19.17,17.48,38.43,,,
